is_guest_player,guest_player_name,guest_player_original_team,player_id,clean_sheet,guest_player_type,blue_cards,yellow_cards,red_cards,game_id,goals,id,created_date,updated_date,created_by_id,created_by,is_sample
"false","","","68d92b0309e942f7fd80cf8b","false","","0","0","0","6919bfbd5193fe8ca3843189","0","69f65352b13be2a919b730b4","2026-05-02T19:41:06.422000","2026-05-02T19:41:06.422000","68ced33199eee0cc26184af5","idorichter4@gmail.com","false"
"false","","","68ab767b5fe0f6efc5824d00","false","","0","0","0","6919bfbd5193fe8ca3843189","0","69f65351f3730cd5c88591ba","2026-05-02T19:41:05.951000","2026-05-02T19:41:05.951000","68ced33199eee0cc26184af5","idorichter4@gmail.com","false"
"false","","","68ab768eae4304bc7e30579c","false","","0","0","0","6919bfbd5193fe8ca3843189","1","69f65351f4b5e8717434bea4","2026-05-02T19:41:05.474000","2026-05-02T19:41:05.474000","68ced33199eee0cc26184af5","idorichter4@gmail.com","false"
"false","","","68ab7685a33e8cf8153db269","false","","1","0","0","6919bfbd5193fe8ca3843189","1","69f65350060bfdd8fe960186","2026-05-02T19:41:04.992000","2026-05-02T19:41:04.992000","68ced33199eee0cc26184af5","idorichter4@gmail.com","false"
"false","","","68ab769d133d8af91aae9adf","false","","0","0","0","6919bfbd5193fe8ca3843189","1","69f65350a444bd2182b8e76b","2026-05-02T19:41:04.528000","2026-05-02T19:41:04.528000","68ced33199eee0cc26184af5","idorichter4@gmail.com","false"
"false","","","68ab76d8365bbb601e26d40b","false","","0","0","0","6919bfbd5193fe8ca3843189","0","69f65350da0c80b924545ad3","2026-05-02T19:41:04.018000","2026-05-02T19:41:04.018000","68ced33199eee0cc26184af5","idorichter4@gmail.com","false"
"false","","","68ab785c9a39586985ce90bf","false","","0","0","0","6919bfbd5193fe8ca3843189","0","69f6534f033268ca854235db","2026-05-02T19:41:03.530000","2026-05-02T19:41:03.530000","68ced33199eee0cc26184af5","idorichter4@gmail.com","false"
"false","","","693496a7c659087f8e1b5a4e","false","","0","0","0","6919bfbd5193fe8ca3843189","1","69f6534f65353b123a1b7a2a","2026-05-02T19:41:03.011000","2026-05-02T19:41:03.011000","68ced33199eee0cc26184af5","idorichter4@gmail.com","false"
"false","","","68f24e080f6f7e6638277f42","false","","0","0","0","6919bfbd5193fe8ca3843189","1","69f6534ec1f2d429d8031da3","2026-05-02T19:41:02.498000","2026-05-02T19:41:02.498000","68ced33199eee0cc26184af5","idorichter4@gmail.com","false"
"false","","","68ab7846b50a0c1338ea05b8","false","","0","0","0","6919bfbd5193fe8ca3843189","4","69f6534eeed32cb5b8cd2d37","2026-05-02T19:41:02.035000","2026-05-02T19:41:02.035000","68ced33199eee0cc26184af5","idorichter4@gmail.com","false"
"false","","","68ab7830d7b4170f4ba45456","false","","0","0","0","6919bfbd5193fe8ca3843189","0","69f6534db0564bcedf58ac13","2026-05-02T19:41:01.539000","2026-05-02T19:41:01.539000","68ced33199eee0cc26184af5","idorichter4@gmail.com","false"
"false","","","68ab7886a17e492e28207ed2","false","","0","0","0","6919bfbd5193fe8ca3843189","0","69f6534bab4c5d339ddf67d5","2026-05-02T19:40:59.771000","2026-05-02T19:40:59.771000","68ced33199eee0cc26184af5","idorichter4@gmail.com","false"
"false","","","68d92ba78933cc92ae033929","false","","0","0","0","6919bfa4c5e29c31ea376e9a","0","69f652366d6d919613009710","2026-05-02T19:36:22.674000","2026-05-02T19:36:22.674000","68ced33199eee0cc26184af5","idorichter4@gmail.com","false"
