venue,home_team_id,period,notes,home_score,away_score,referee_type,is_neutral,game_type,away_own_goals,away_clean_sheet,home_own_goals,referee_notes,is_technical_loss,time_remaining,series_game,referee_id,playoff_round,home_clean_sheet,season,away_team_id,game_date,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"","6853f00b2ee5c28e69dda33b","","סדרה C - משחק 2 (חוץ). יש לעדכן תאריך, שעה, מגרש ושופט.","","","","false","פלייאוף","0","false","0","","false","","2","","first_round","false","","6853ee6778f42803cf232b2b","2026-06-08T20:00:00","scheduled","69f73884b51e516e6f88e2b9","2026-05-03T11:59:00.436000","2026-05-03T11:59:00.436000","6853c66e04de8cd8433918bf","ilichter22@gmail.com","false"
"","6853ee6778f42803cf232b2b","","סדרה C - משחק 1 (בית). יש לעדכן תאריך, שעה, מגרש ושופט.","","","","false","פלייאוף","0","false","0","","false","","1","","first_round","false","","6853f00b2ee5c28e69dda33b","2026-06-01T20:00:00","scheduled","69f73884b51e516e6f88e2b8","2026-05-03T11:59:00.435000","2026-05-03T11:59:00.435000","6853c66e04de8cd8433918bf","ilichter22@gmail.com","false"
"","6853f02ac30356b62030e32e","","סדרה B - משחק 2 (חוץ). יש לעדכן תאריך, שעה, מגרש ושופט.","","","","false","פלייאוף","0","false","0","","false","","2","","first_round","false","","6853f04875cfa1cb68f970e9","2026-06-08T20:00:00","scheduled","69f73884b51e516e6f88e2b7","2026-05-03T11:59:00.435000","2026-05-03T11:59:00.435000","6853c66e04de8cd8433918bf","ilichter22@gmail.com","false"
"","6853f096dc10e4a7eb586082","","סדרה A - משחק 2 (חוץ). יש לעדכן תאריך, שעה, מגרש ושופט.","","","","false","פלייאוף","0","false","0","","false","","2","","first_round","false","","6853ee4d2ee5c28e69dd9be1","2026-06-08T20:00:00","scheduled","69f73884b51e516e6f88e2b5","2026-05-03T11:59:00.435000","2026-05-03T11:59:00.435000","6853c66e04de8cd8433918bf","ilichter22@gmail.com","false"
"","6853f04875cfa1cb68f970e9","","סדרה B - משחק 1 (בית). יש לעדכן תאריך, שעה, מגרש ושופט.","","","","false","פלייאוף","0","false","0","","false","","1","","first_round","false","","6853f02ac30356b62030e32e","2026-06-01T20:00:00","scheduled","69f73884b51e516e6f88e2b6","2026-05-03T11:59:00.435000","2026-05-03T11:59:00.435000","6853c66e04de8cd8433918bf","ilichter22@gmail.com","false"
"","6853ee4d2ee5c28e69dd9be1","","סדרה A - משחק 1 (בית). יש לעדכן תאריך, שעה, מגרש ושופט.","","","","false","פלייאוף","0","false","0","","false","","1","","first_round","false","","6853f096dc10e4a7eb586082","2026-06-01T20:00:00","scheduled","69f73884b51e516e6f88e2b4","2026-05-03T11:59:00.435000","2026-05-03T11:59:00.435000","6853c66e04de8cd8433918bf","ilichter22@gmail.com","false"
"גבעת עדה","6853f02ac30356b62030e32e","","","3","6","player","false","ליגה","0","false","0","","false","","","","","false","","6853ee6778f42803cf232b2b","2026-05-02T16:00:00.000Z","completed","6919bfbd5193fe8ca3843189","2025-11-16T12:12:45.342000","2026-05-02T19:40:59.025000","68ced33199eee0cc26184af5","idorichter4@gmail.com","false"
"גבעת עדה","6853f04875cfa1cb68f970e9","","","9","1","player","false","ליגה","0","false","0","לשחקן בל""ג נוער- בר פוטרמן נותר לרצות עונש הרחקה 1:41 בתחילת המשחק העוקב","false","","","","","false","","6853f096dc10e4a7eb586082","2026-05-02T12:30:00.000Z","completed","6919bfa4c5e29c31ea376e9a","2025-11-16T12:12:20.943000","2026-05-02T19:35:54.660000","68ced33199eee0cc26184af5","idorichter4@gmail.com","false"
"גבעת עדה","6853ee4d2ee5c28e69dd9be1","","","4","8","player","false","ליגה","0","false","0","","false","","","","","false","","6853ee1f75cfa1cb68f96068","2026-05-02T14:15:00.000Z","completed","6919bf83f2a1b32c0ef14f32","2025-11-16T12:11:47.445000","2026-05-02T19:30:49.937000","68ced33199eee0cc26184af5","idorichter4@gmail.com","false"
"גבעת עדה","6853f04875cfa1cb68f970e9","","","3","5","player","false","ליגה","0","false","0","","false","","","68ab78eb9a39586985ce975b","","false","","6853ee1f75cfa1cb68f96068","2026-03-14T15:15:00.000Z","completed","6919bf5c5ae38990e28a25a9","2025-11-16T12:11:08.154000","2026-04-27T16:29:09.471000","68ced33199eee0cc26184af5","idorichter4@gmail.com","false"
